entry_time,exit_time,side,entry,exit,stop,target,qty,notional,bars_held,reason,net,r_mult,equity,year
2024-02-26 20:00:00+00:00,2024-02-28 04:00:00+00:00,L,54503.44613,58324.38710075001,53229.79913974999,58324.38710075001,0.16681425655353038,9091.951845781343,8,target,624.3400010728095,2.9385895026909923,11247.463790582617,2024
2024-02-28 12:00:00+00:00,2024-03-04 04:00:00+00:00,L,58958.792333,64285.456989223385,57183.237447592204,64285.456989223385,0.12669238087787277,7469.629774351841,28,target,656.5832920627946,2.918805982787626,11904.047082645411,2024
2024-03-04 12:00:00+00:00,2024-03-05 16:00:00+00:00,L,65249.55899699999,63131.44955970921,63150.39467811264,71547.05195366204,0.11341701052688506,7400.409919637356,7,stop,-250.1000789176406,-1.050483407791014,11653.94700372777,2024
2024-03-11 08:00:00+00:00,2024-03-15 00:00:00+00:00,L,71041.29599700001,68452.48311074494,68473.02501825041,78746.10893324879,0.0907532507290309,6447.228547731041,22,stop,-248.36489331460888,-1.0655827301907412,11405.582110413161,2024
2024-03-20 00:00:00+00:00,2024-03-20 16:00:00+00:00,S,61918.828777,65702.14600789365,65682.441275511,50627.99128146701,0.06060975785857639,3752.8852190606217,4,stop,-233.92405650014982,-1.0254805683551211,11171.658053913012,2024
2024-04-08 12:00:00+00:00,2024-04-09 04:00:00+00:00,L,72425.7212,70253.13330109892,70274.21556576865,78880.23810269403,0.10384967509419753,7521.387615082934,4,stop,-234.53540127885486,-1.0496893126652131,10937.122652634156,2024
2024-04-17 16:00:00+00:00,2024-04-18 12:00:00+00:00,S,60286.858515,63691.88608579053,63672.78425051538,50129.08130845385,0.06460344087239336,3894.738499456147,5,stop,-224.95490871142468,-1.0284007771333044,10712.167743922731,2024
2024-04-30 20:00:00+00:00,2024-05-03 12:00:00+00:00,S,59275.162115,61368.620257569004,61350.2151930111,53050.00288096669,0.10324716854173323,6119.992653225965,16,stop,-227.267684269533,-1.0607922210631335,10484.900059653199,2024
2024-05-15 20:00:00+00:00,2024-05-21 00:00:00+00:00,L,66026.031869,71880.37901032984,64074.58282189006,71880.37901032984,0.10745758466182984,7094.997909447742,31,target,610.6872119083113,2.912222379010976,11095.58727156151,2024
2024-06-05 16:00:00+00:00,2024-06-07 16:00:00+00:00,L,71601.48400299999,69962.68712211929,69983.68222678732,76454.88933163801,0.137168686976431,9821.481546255438,12,stop,-240.39359103729993,-1.083284666028627,10855.19368052421,2024
2024-06-11 16:00:00+00:00,2024-06-12 08:00:00+00:00,S,66224.606656,67663.58887139076,67643.29588262597,61968.538976122116,0.15303131195745923,10134.438440434367,4,stop,-232.4807671013726,-1.0708273566711057,10622.712913422836,2024
2024-06-14 20:00:00+00:00,2024-06-24 16:00:00+00:00,S,65500.363994,59889.87087767162,67370.52836610946,59889.87087767162,0.11360191726292919,7440.966931138134,59,target,608.289636814777,2.8631557765537634,11231.002550237614,2024
2024-07-04 12:00:00+00:00,2024-07-13 20:00:00+00:00,S,57744.621415,59733.05105840982,59715.136517454586,51833.07610763624,0.11399052497742986,6582.339709718789,56,stop,-251.78836089936706,-1.120952291538924,10979.214189338247,2024
