tf,k,mode,stop,rr,direction,n_trades,win_rate,expectancy_R,profit_factor,avg_monthly,max_dd,sharpe,mar,pct_long
1h,2,rev,atr,2.0,short,529,0.32892249527410206,-0.08927711789684377,0.8644458604904806,-0.007460469821936613,-0.457911201207025,-0.6233673913540261,-0.016292394250831354,0.0
1h,2,rev,atr,3.0,both,669,0.2242152466367713,-0.18521407162701498,0.7824719735387058,-0.01970328685808502,-0.7837557325346388,-1.246980610317825,-0.025139576069657922,0.4947683109118087
1h,2,rev,atr,3.0,short,472,0.2542372881355932,-0.06526242375747612,0.9049113375304126,-0.005091546137097282,-0.5053925523749627,-0.3474029777044059,-0.01007443840074585,0.0
1h,2,both,struct,2.0,both,515,0.37475728155339805,0.06220064682955713,1.0614546677598384,0.0044819873688773815,-0.2605096664752081,0.4161432889936449,0.01720468737118405,0.5262135922330097
1h,2,both,struct,2.0,short,547,0.3162705667276051,-0.12445515000665093,0.8289696356259548,-0.009852133181526144,-0.6019046287271094,-0.9008601665133233,-0.016368262863106987,0.0
1h,2,both,struct,3.0,both,319,0.2946708463949843,0.10023504646844889,1.0999409902044808,0.004267305183791344,-0.25762762498528513,0.43364021248031437,0.01656384940875451,0.5266457680250783
1h,2,both,struct,3.0,short,400,0.2125,-0.2350647995392386,0.7284179420173728,-0.014210152695503573,-0.6476607395506406,-1.2792109853940192,-0.021940735060400368,0.0
1h,2,both,atr,2.0,both,1490,0.3429530201342282,-0.04515261894392612,0.9481045757587385,-0.01174683548370056,-0.7258246250720657,-0.5094332638748826,-0.016184123654573224,0.5154362416107383
1h,2,both,atr,2.0,short,1012,0.3359683794466403,-0.06516597809694817,0.8933803710029606,-0.010657398118761329,-0.6139486761086516,-0.6189216341927264,-0.01735877693606309,0.0
1h,2,both,atr,3.0,both,1020,0.2833333333333333,0.05455830715599339,1.046238199868759,0.0072617793930466554,-0.3291982788614135,0.4151603553700077,0.022058983473919474,0.515686274509804
1h,2,both,atr,3.0,short,781,0.25224071702944945,-0.06882989746805364,0.8868282244545422,-0.008325931756823945,-0.6530730337119681,-0.4999214859388852,-0.01274885246677636,0.0
1h,3,cont,struct,2.0,both,492,0.3638211382113821,0.02907711914071166,1.0253789965737614,0.002164391496388805,-0.28428229589562437,0.19496585548290152,0.007613528973269133,0.556910569105691
