strat,tf,direction,rr,ema_fast,ema_slow,ema_pull,atr_n,atr_mult,n_trades,avg_monthly,total_return,cagr,max_dd,sharpe,sortino,win_rate,profit_factor,expectancy_R,mar_monthly,pct_long,ema_trend,n,adx_n,adx_max,k
H1_trend_pullback,15m,both,3.0,50.0,200.0,20.0,14,1.5,4787,-0.13859681802972657,-0.9999793122640794,-0.8684827937891316,-0.99998675063752,-3.4516630127635994,-6.010862034980995,0.2487988301650303,0.8939628005150922,-0.20987296881913667,-0.1385986543735376,0.5207854606225193,,,,,
H1_trend_pullback,15m,short,3.0,50.0,200.0,20.0,14,1.5,2345,-0.06457272688640911,-0.9904248197069206,-0.5828468435506501,-0.9911234204593186,-2.2129569355729704,-3.096509189191579,0.25415778251599147,0.8333839272742299,-0.18263400738209445,-0.06515104532237169,0.0,,,,,
H1_trend_pullback,15m,both,2.0,50.0,200.0,20.0,14,2.0,3967,-0.09094734379275701,-0.9986221937176889,-0.7103053247463862,-0.9990764655169606,-2.9169602221598265,-4.8180668298245735,0.3307285102092261,0.8764519949567695,-0.15575023698456303,-0.091031414443035,0.5170153768590875,,,,,
H1_trend_pullback,15m,short,2.0,50.0,200.0,20.0,14,2.0,1967,-0.04213480684955427,-0.9454093702871247,-0.4212672526794585,-0.9526824172220897,-1.916912504171237,-2.8238961379301126,0.3355363497712252,0.8385209705014212,-0.13748838671032615,-0.04422754748892546,0.0,,,,,
H1_trend_pullback,15m,both,2.5,50.0,200.0,20.0,14,2.0,3445,-0.07808571473163359,-0.996706490772026,-0.6587104258942036,-0.9982041229043699,-2.379631821198577,-4.2517525227325015,0.28534107402031933,0.9031037579720544,-0.15313891642244642,-0.07822619937136281,0.5219158200290276,,,,,
H1_trend_pullback,15m,short,2.5,50.0,200.0,20.0,14,2.0,1697,-0.03438191375078932,-0.9091304164889307,-0.3630577056094412,-0.9353121187870749,-1.4596568333026407,-2.3220318712335604,0.291101944608132,0.8761053020538383,-0.12842321398822779,-0.0367598292165574,0.0,,,,,
H1_trend_pullback,15m,both,3.0,50.0,200.0,20.0,14,2.0,3103,-0.06933693865944762,-0.9940915719597231,-0.6190569934271597,-0.9971451160712493,-2.0146538096884554,-4.025745148141885,0.2513696422816629,0.905151786899888,-0.15011733006553202,-0.06953545431043687,0.530132130196584,,,,,
H1_trend_pullback,15m,short,3.0,50.0,200.0,20.0,14,2.0,1518,-0.03002131663401352,-0.8782741814127767,-0.32705523430240446,-0.9122156316305793,-1.214252197858136,-2.0907666366369115,0.25691699604743085,0.8766120715398604,-0.12327752353249093,-0.03291032908562488,0.0,,,,,
H1_trend_pullback,1h,both,2.0,50.0,200.0,20.0,14,1.0,1959,-0.055535347962525156,-0.9784347105002646,-0.5140250739784402,-0.9788441295134391,-2.4397948309220143,-4.928744688841288,0.3215926493108729,0.7750395379925729,-0.18563353104536873,-0.05673563981032455,0.5135273098519653,,,,,
H1_trend_pullback,1h,short,2.0,50.0,200.0,20.0,14,1.0,960,-0.02073986094657844,-0.758545319840745,-0.23453708119518302,-0.7662154575355744,-1.2807131648193786,-1.8565165885372585,0.3375,0.8209206958062639,-0.13759872253904817,-0.027067922922470556,0.0,,,,,
