time;open;high;low;close;Volume
"2025-06-01 02:00:00";104637.296686896;110561.4198181253;98286.2059304254;107135.3345105601;1424277758115.75
"2025-07-01 02:00:00";107144.3826437445;123091.612801368;105157.39559599;115758.2039287926;2061338304538.11
"2025-08-01 02:00:00";115738.9552122482;124457.1168703663;107444.443172336;108236.7098959993;2048378158797.72
"2025-09-01 02:00:00";108228.7470722929;117911.7883364225;107271.183408171;114056.0836474993;1450418370470.49
"2025-10-01 02:00:00";114057.5921833042;126198.0696034339;103598.4288513281;109556.1608701478;2225033226795.8
"2025-11-01 01:00:00";109558.6274996546;111167.3134378906;80659.8124264662;90394.308947817;2179411958810.3
"2025-12-01 01:00:00";90389.1097979024;94601.5708108212;83862.2485209906;87508.8250795458;1487947448336.17
"2026-01-01 01:00:00";87508.0476624348;97860.6038029774;75815.8828432276;78621.1140275542;1257318501231.86
"2026-02-01 01:00:00";78626.1269261602;79322.6125088066;60074.2030063429;66995.861324432;1472969852420.67
"2026-03-01 01:00:00";67005.886412364;75988.4005176101;64971.706029593;68233.3155611907;1294169596743.55
"2026-04-01 02:00:00";68232.8906602461;79488.1719641042;65725.2568497465;76304.3187968028;1067031096651.62
"2026-05-01 02:00:00";76305.0555999406;82792.2106473945;72435.6234578528;73579.6878524867;956410808781.26
"2026-06-01 02:00:00";73573.0497779031;73956.1221162938;59034.0168225261;61638.25434000311;NaN
